chart_id,chart_type,measures,png_path,svg_path
001_simple_bar,simple_bar,Received food stamps in the past 12 months among adults,charts/png/001_simple_bar.png,charts/svg/001_simple_bar.svg
002_grouped_bar,grouped_bar,Frequent physical distress among adults | Stroke among adults,charts/png/002_grouped_bar.png,charts/svg/002_grouped_bar.svg
003_stacked_bar,stacked_bar,Any disability among adults,charts/png/003_stacked_bar.png,charts/svg/003_stacked_bar.svg
004_stacked_bar,stacked_bar,Current lack of health insurance among adults aged 18-64 years,charts/png/004_stacked_bar.png,charts/svg/004_stacked_bar.svg
005_simple_bar,simple_bar,Cognitive disability among adults,charts/png/005_simple_bar.png,charts/svg/005_simple_bar.svg
006_stacked_bar,stacked_bar,Cholesterol screening among adults,charts/png/006_stacked_bar.png,charts/svg/006_stacked_bar.svg
007_grouped_bar,grouped_bar,Diagnosed diabetes among adults | Self-care disability among adults,charts/png/007_grouped_bar.png,charts/svg/007_grouped_bar.svg
008_simple_bar,simple_bar,Utility services shut-off threat in the past 12 months among adults,charts/png/008_simple_bar.png,charts/svg/008_simple_bar.svg
009_grouped_bar,grouped_bar,Visited dentist or dental clinic in the past year among adults | Lack of social and emotional support among adults,charts/png/009_grouped_bar.png,charts/svg/009_grouped_bar.svg
010_simple_bar,simple_bar,Short sleep duration among adults,charts/png/010_simple_bar.png,charts/svg/010_simple_bar.svg
011_stacked_bar,stacked_bar,Arthritis among adults,charts/png/011_stacked_bar.png,charts/svg/011_stacked_bar.svg
012_simple_bar,simple_bar,Housing insecurity in the past 12 months among adults,charts/png/012_simple_bar.png,charts/svg/012_simple_bar.svg
013_stacked_bar,stacked_bar,Coronary heart disease among adults,charts/png/013_stacked_bar.png,charts/svg/013_stacked_bar.svg
014_grouped_bar,grouped_bar,Independent living disability among adults | Obesity among adults,charts/png/014_grouped_bar.png,charts/svg/014_grouped_bar.svg
015_stacked_bar,stacked_bar,Visited dentist or dental clinic in the past year among adults,charts/png/015_stacked_bar.png,charts/svg/015_stacked_bar.svg
016_stacked_bar,stacked_bar,Obesity among adults,charts/png/016_stacked_bar.png,charts/svg/016_stacked_bar.svg
017_simple_bar,simple_bar,Binge drinking among adults,charts/png/017_simple_bar.png,charts/svg/017_simple_bar.svg
018_simple_bar,simple_bar,Cancer (non-skin) or melanoma among adults,charts/png/018_simple_bar.png,charts/svg/018_simple_bar.svg
019_simple_bar,simple_bar,Current asthma among adults,charts/png/019_simple_bar.png,charts/svg/019_simple_bar.svg
020_stacked_bar,stacked_bar,Vision disability among adults,charts/png/020_stacked_bar.png,charts/svg/020_stacked_bar.svg
021_grouped_bar,grouped_bar,Chronic obstructive pulmonary disease among adults | Any disability among adults,charts/png/021_grouped_bar.png,charts/svg/021_grouped_bar.svg
022_grouped_bar,grouped_bar,Coronary heart disease among adults | Independent living disability among adults,charts/png/022_grouped_bar.png,charts/svg/022_grouped_bar.svg
023_simple_bar,simple_bar,Cholesterol screening among adults,charts/png/023_simple_bar.png,charts/svg/023_simple_bar.svg
024_simple_bar,simple_bar,Depression among adults,charts/png/024_simple_bar.png,charts/svg/024_simple_bar.svg
025_grouped_bar,grouped_bar,Chronic obstructive pulmonary disease among adults | Lack of social and emotional support among adults,charts/png/025_grouped_bar.png,charts/svg/025_grouped_bar.svg
026_simple_bar,simple_bar,Stroke among adults,charts/png/026_simple_bar.png,charts/svg/026_simple_bar.svg
027_grouped_bar,grouped_bar,Arthritis among adults | No leisure-time physical activity among adults,charts/png/027_grouped_bar.png,charts/svg/027_grouped_bar.svg
028_stacked_bar,stacked_bar,Stroke among adults,charts/png/028_stacked_bar.png,charts/svg/028_stacked_bar.svg
029_grouped_bar,grouped_bar,Mammography use among women aged 50-74 years | Utility services shut-off threat in the past 12 months among adults,charts/png/029_grouped_bar.png,charts/svg/029_grouped_bar.svg
030_stacked_bar,stacked_bar,Cholesterol screening among adults,charts/png/030_stacked_bar.png,charts/svg/030_stacked_bar.svg
